GroupCategory	super	sub_population	GroupDescription
Population	AFR	ACB	Africa from ACB
Population	AFR	ASW	Africa from ASW
Population	AFR	ESN	Africa from ESN
Population	AFR	GWD	Africa from GWD
Population	AFR	LWK	Africa from LWK
Population	AFR	MSL	Africa from MSL
Population	AFR	YRI	Africa from YRI
Population	AMR	CLM	Americas from CLM
Population	AMR	MXL	Americas from MXL
Population	AMR	PEL	Americas from PEL
Population	AMR	PUR	Americas from PUR
Population	EAS	CDX	East Asia from CDX
Population	EAS	CHB	East Asia from CHB
Population	EAS	CHS	East Asia from CHS
Population	EAS	JPT	East Asia from JPT
Population	EAS	KHV	East Asia from KHV
Population	EUR	CEU	Europe from CEU
Population	EUR	FIN	Europe from FIN
Population	EUR	GBR	Europe from GBR
Population	EUR	IBS	Europe from IBS
Population	EUR	TSI	Europe from TSI
Population	SAS	BEB	South Asia from BEB
Population	SAS	GIH	South Asia from GIH
Population	SAS	ITU	South Asia from ITU
Population	SAS	PJL	South Asia from PJL
Population	SAS	STU	South Asia from STU
